id,name
1090882,Saúde
1090882,Administrativo
504944,Comercial / Vendas
504944,Engenharia
504944,Produção / Operações
504944,Logistica / Supply Chain
1086673,Administrativo
1086726,Comercial / Vendas
1086726,Produção / Operações
897926,Logistica / Supply Chain
292683,Tecnologia
292683,RH
505350,Engenharia
505350,Tecnologia
505350,Administrativo
505350,Finanças / Contabilidade
506077,Administrativo
672771,Comercial / Vendas
672771,RH
672771,Administrativo
672771,Produção / Operações
1086719,Administrativo
1086719,Logistica / Supply Chain
1086596,Engenharia
1086596,Tecnologia
1086596,Administrativo
1086596,Produção / Operações
1012824,Administrativo
1013889,Jurídico
1013892,Saúde
1013892,Administrativo
1086596,Logistica / Supply Chain
1086786,Tecnologia
1086717,Engenharia
1013842,RH
1013842,Jurídico
1013842,Saúde
1086717,Produção / Operações
1086717,Logistica / Supply Chain
415277,Administrativo
415277,Finanças / Contabilidade
577110,Engenharia
577110,Tecnologia
577110,Administrativo
577110,Produção / Operações
1089861,Tecnologia
505350,Produção / Operações
505350,Logistica / Supply Chain
1086853,Saúde
1086828,RH
1089987,Engenharia
1092505,RH
1092505,Administrativo
1087141,Engenharia
1090909,Engenharia
1090909,Tecnologia
1090909,Produção / Operações
1086828,Administrativo
359911,Comercial / Vendas
359911,Administrativo
359911,Finanças / Contabilidade
359911,Logistica / Supply Chain
1013637,Finanças / Contabilidade
1086861,Comercial / Vendas
1086861,Tecnologia
1086861,Produção / Operações
1012877,Comercial / Vendas
1012877,Administrativo
296083,Comercial / Vendas
296083,Marketing / Comunicação
296083,Tecnologia
305589,RH
